predictor,target,n,pearson_r,r2,spearman_r
selected_distinct_idx_ratio,latency_avg_delta_ns,23,-0.4926716028794644,0.24272530828382066,-0.29023255142642573
selected_distinct_idx_ratio,abs_latency_avg_delta_ns,23,-0.4926716028794644,0.24272530828382066,-0.29023255142642573
selected_distinct_idx_ratio,skew_max_delta_ns,23,-0.17334992976264818,0.030050198148715058,-0.229666249301568
selected_distinct_idx_ratio,abs_skew_max_delta_ns,23,-0.11757148860316706,0.013823054932364642,-0.17575886176338415
selected_distinct_idx_ratio,buffer_count_delta,23,-0.26370320608847064,0.06953938090133842,-0.389645838945564
selected_distinct_idx_ratio,abs_buffer_count_delta,23,-0.2610627129142455,0.06815374007414576,-0.389645838945564
selected_distinct_idx_ratio,trunk_wire_length_ratio,23,0.06151819122728986,0.0037844878518774033,0.026180771391559023
selected_distinct_idx_ratio,leaf_wire_length_ratio,23,0.07728335005485755,0.0059727161957016505,0.023936705272282536
selected_distinct_idx_ratio,clock_total_cap_ratio,23,0.0681362922636502,0.004642554323437558,0.02094461711324722
max_full_rel_error_ratio,l3_mean_abs_arrival_delta_ns,23,0.6502722982089829,0.4228540618179924,0.5405138339920948
max_full_rel_error_ratio,l3_max_abs_arrival_delta_ns,23,0.6309575619472175,0.39810744497837686,0.40711462450592883
max_full_rel_error_ratio,l3_mean_abs_combined_delay_delta_ns,23,0.5521750445653366,0.30489727984073145,0.4901185770750988
max_full_rel_error_ratio,latency_avg_delta_ns,23,0.4358183353879446,0.18993762146031898,-0.03359683794466403
max_full_rel_error_ratio,abs_latency_avg_delta_ns,23,0.4358183353879446,0.18993762146031898,-0.03359683794466403
max_full_rel_error_ratio,skew_max_delta_ns,23,0.41739396844802323,0.1742177248967894,0.23459574915150921
max_full_rel_error_ratio,abs_skew_max_delta_ns,23,0.3879628562769228,0.15051517785054824,0.11831706365489587
max_full_rel_error_ratio,buffer_count_delta,23,0.7173164341464576,0.5145428666965893,0.6889394152297486
max_full_rel_error_ratio,abs_buffer_count_delta,23,0.7110858772468571,0.5056431248199323,0.6374669301838478
max_full_rel_error_ratio,trunk_wire_length_ratio,23,-0.2614061113395345,0.06833315504565711,-0.3132411067193676
max_full_rel_error_ratio,leaf_wire_length_ratio,23,-0.2270282650914462,0.05154183315043197,-0.15316205533596838
max_full_rel_error_ratio,clock_total_cap_ratio,23,-0.5764167731733529,0.33225629639558063,-0.6284584980237155
source_abs_delta_um,l3_mean_abs_arrival_delta_ns,23,0.06052793182141813,0.0036636305305782412,0.24005050089667873
source_abs_delta_um,l3_max_abs_arrival_delta_ns,23,0.11485298169166336,0.013191207403465558,0.16190640166861098
source_abs_delta_um,l3_mean_abs_combined_delay_delta_ns,23,0.026399526448506103,0.0006969349967053733,0.18999741773098827
source_abs_delta_um,latency_avg_delta_ns,23,0.2807782208382123,0.07883640929707192,0.24669019560233155
source_abs_delta_um,abs_latency_avg_delta_ns,23,0.2807782208382123,0.07883640929707192,0.24669019560233155
source_abs_delta_um,skew_max_delta_ns,23,0.04107012383551016,0.00168675507186414,0.05065149382079579
source_abs_delta_um,abs_skew_max_delta_ns,23,-0.11765606650859263,0.013842949986274373,-0.13484826663699248
source_abs_delta_um,buffer_count_delta,23,0.09036538222473124,0.008165902304621773,0.03223276879505187
source_abs_delta_um,abs_buffer_count_delta,23,0.09461577682041658,0.00895214522333088,0.09516341263301027
source_abs_delta_um,trunk_wire_length_ratio,23,0.13428666966986083,0.01803290965102232,0.059757252350875346
source_abs_delta_um,leaf_wire_length_ratio,23,-0.040527328058294114,0.0016424643195445934,-0.24056124664326742
source_abs_delta_um,clock_total_cap_ratio,23,-0.10351216795344875,0.010714768914422983,-0.07610111624171305
